bankname,type,sms
AlAhli,Withdrawl,"PoS Purchase (Apple Pay)
Amount 990 SAR
Mada card *1868
Account 745*104
From STC Pay
on 29/03/2022 at 12:50"
Sabb,Other,"Dear Customer, Please update your personal information within 30 days to avoid your account being frozen. Kindly update your information through SABBNet. There is no need to visit a SABB branch."
Gulf International bank,Withdrawl,"ATM Withdrawal 
Amount: SAR 2,500.00 
Card:***7032;mada
From: ***1981
Location: Riyadh, Cent, SA
Date:02/04/2022 21:44"
Gulf International bank,Withdrawl,"POS Purchase
Amount: SAR 85.42
At:ALDREES 402, RIYADH, SA
Card:***7032 ; mada 
Transaction Type: Apple Pay 
Date: 27/03/2022 19:02"
Gulf International bank,Other,"Notification: Online Banking Service
Status: Blocked 
Reason: Incorrect Password attempts 
Date: 28/02/2022 11:31
Action: Please use forget password steps on meem app to unblock your online banking services or call our Contact Center on 920026336"
Sabb,Withdrawl,"Withdrawal: ATM
Location: RIYADH
By: ***8383;mada
From: ***001
Amount: SAR 3,500.00
Date: 2022-04-20 08:10:21"
Arab National Bank,Other,"Dear Customer,
Due to scheduled systems updates, TeleMoney services will not be available through anb Net, anb Mobile, and TeleMoney App on Saturday 16/07/2022 from 04:00 a.m. to 07:00 a.m.
We appreciate your understanding."
Arab National Bank,Withdrawl,"ATM Withdrawal
Amount: SAR 4600.00
Withdrawal Location: RIYADH
Card Type: mada
Card Number: 4021
Date: 2022-06-30 22:37:57"
Gulf International bank,Withdrawl,"International ATM Withdrawal 
Amount: SAR 245.54 
Card: ***7032; mada ;
Country: PORTUGAL
Fees: 0.00 SAR
Date: 02/08/2022 19:37"
Alfransi,Other,"Notification:
You have logged in to FransiPlus through another device."
Arab National Bank,Withdrawl,"Outgoing Fund Transfer Approved
From: ***0012
Amount: SAR 76.29
Beneficiary Name: هيلة الر***
Beneficiary IBAN: ***0473
Beneficiary Bank: البنك السعودي الفرنسي
Date: 05-08-2022 21:46:04
Reference ID: 2240434872
Transaction ID: SD6775406"
Sabb,Withdrawl,"Online Purchase
By: ***8383;mada(Apple Pay)
From: ***001
Amount: SAR 278.40
At: SALLA APP××Makkah×
Date: 2022-07-29 18:32:22"
Sabb,Withdrawl,"PoS Purchase
By: ***8383;mada(Apple Pay); 
Amount: SAR 136.00
At: NASSAR TR×RIYADH-AL
Date: 2022-08-15 18:22:40"
Sabb,Other,You are successfully logged in to SABB mobile using Face ID/Touch ID
Sabb,Withdrawl,"PoS Purchase
By: ***8383;mada(Atheer)
From: ***001
Amount: SAR 63.00
At: GREEN DAY PHARMACY×
Date: 2022-08-23 12:38:19"
Sabb,Deposit,"Fund Transfer Credited
To: *******1001
From: NAJAT ABDULLAH IBRAHIM ALRASHED
IBAN: *****0173
Banque Saudi Fransi
Amount: SAR 1864.70
Date: 2022-08-23 15:31:37
Ref: 20220823SABSFRBSFR1BEBK11530469657"
Riyad bank,Deposit,"Incoming Transfer(Sarie)
To Account:***8989 
Amount:SAR 100.00
From:SADEEM A. ALMOS*** 
Via:Alinma Bank 
On:2022-03-22 10:58 
Ref:**019679
"
Arab National Bank,Withdrawl,"Outgoing Fund Transfer Approved
From: ***0012
Amount: SAR 155.29
Beneficiary Name: هيلة ج***
Beneficiary IBAN: ***0123
Beneficiary Bank: البنك السعودي الفرنسي
Date: 28-08-2022 00:36:48
Reference ID: 2242417735
Transaction ID: SD8003928"
Riyad bank,Other,"One Time Password
Code:0000
For:User Logon
On:2022-08-14 11:51"
Riyad bank,Deposit,"Reverse Transaction
By:*7800;Mada
To:*979790
Amount:SAR 1.00
From:Jahez international Co
On:2022-08-0912:03"
Riyad bank,Other,"Notification:Insufficient funds
Transaction:Ecommerce Purchase
Amount:SAR 49.99
Account:*6712;Mada
On:2022-08-03 17:51"
Riyad bank,Other,"Beneficiary: سعد حمد السعد
Nickname: سعد السعد
Status: Active
Account: SA394078009020351031
Bank: بنك الإنماء
On: 2022-07-17 12:13"
AlAhli,Other,Requested an activation code 1000 for Login Authentication on 12/03/2022 19:42
AlAhli,Other,"Local Bank Beneficiary has been activated
Beneficiary Name: Shams AlQahtani
Short Name: Shams AlQahtani
Status: Active
Account: SA74859302758491683958
Bank: Alinma Bank
Date: 2022-04-19 20:31"
AlAhli,Withdrawl,"ATM Withdrawal
Amount SAR 50
Mada card *9000
Account 898*579
Location AL MALQA BRANCH#2 RIYADH 001SA
on 14/03/2022 at 14:53"
Arab National Bank,Withdrawl,"PoS Purchase
Amount: SAR 39.65
At: Al Nahdi Pharmacy 78
Card type: mada, Atheer
Card number: 4021
Date: 2022-08-28 19:28:03"
AlAhli,Deposit,"Credit Transfer Student Reward
Amount 990 SAR
Account 745*104
on 29/08/2022 at 04:03"
Albilad,Other,"Dear: FAISAL AHMAD ALQARNI
Welcome to: Bank AlBilad
Status: Active
Account: xx090
Mobile: 96655555555"
Albilad,Other,One Time Password: 1685940 for provisioning your card on MADA Pay
Albilad,Withdrawl,"POS Local Purchase
By: **1240; Mada, MADA PAY
Amount: 69.70 SAR
At: S137 Tamimi Markets
Date: 2022-02-20 11:02"
Albilad,Other,"Dear Customer,

You have logged in to Albilad Net from a different device."
Alinma,Withdrawl,"Online Purchase
Amount: 61.88 SAR
mada card: 9000*
From Account: **9090
at: NANA
On: 2022-08-29 23:00"
Alinma,Other,"<#> Please use the activation code: 9000
To activate: Alinma App Login
L6CCxxhlCqn"
Alinma,Deposit,"Credit Transfer Internal
Amount: 100 SAR
To account: **9000
From: حصة العمري
On: 2021-03-27 09:55"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 41.5 SAUDI RIYAL
Merchant: hungerstation
Please use the temporary password:675890"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 27 SAR
mada card: 9000*
Account: **7009
At: DUNKIN 10195
On: 2022-8-24 10:55"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 23 SAR
mada card: 9563*
Account: **8909
At: S137-Tamimi Markets
On: 2022-8-21 11:05"
Alinma,Other,"Dear Customer,
The beneficiary has been added successfully."
Alinma,Other,The code to add your bank card into mada Pay app 345896
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 2 SAR
mada card: 9890*
Account: **4509
At: MCDONALDSTAIF STREET 2
On: 2022-8-19 20:00"
Alinma,Deposit,"Credit Transfer Internal
Amount: 300 SAR
To account: **9900
From: سعود الحبيب 
On: 2022-08-19 18:15"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 35 SAR
mada card: 9099*
Account: **7070
At: DUNKIN 10195
On: 2022-8-18 10:29"
Alinma,Withdrawl,"Debit Transfer Internal
Amount: 800 SAR
To beneficiary: HESSA HASSAN ALAMRI
To Account *8989
From Account: **9000
On: 2022-08-15 20:44"
Alinma,Withdrawl,"Online Purchase
Amount: 49.99 SAR
mada card: 9909*
From Account: **9090
at: Jahez international Co
On: 2022-08-15 13:54"
Alinma,Withdrawl,"Debit Transfer Local Deposited Confirmation (sarie)
To Beneficiary: سارة حسن خالد الحسن 
To Account: **8890
Beneficiary Bank: RIYADH BANK, RIYADH
IBAN: **8787
Amount: 100 SAR
Fee: 0.58 SAR
From Account: **8000
At: 2022-08-14 11:51
Ref: **015990"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 90.10 SAR
mada card: 9989*
Account: **9090
At: S137-Tamimi Markets
On: 2022-8-13 10:50"
Alinma,Withdrawl,"Online Purchase
Amount: 260.98 SAR
mada card: 8989*
From Account: **9900
at: Mrsool
On: 2022-07-19 17:44"
Alinma,Withdrawl,"PoS International Purchase
Amount: 16 SAR 
Mada card: 9090* 
At: AmazonPrime 
In: Saudi Arabia 
On: 2022-7-17 23:41"
Alinma,Withdrawl,"Debit Transfer Internal
Amount: 24.15 SAR
To beneficiary: EST NABTAT ALBUNE FOR TRD
To Account *5000
From Account: **9090
On: 2022-07-16 16:49"
